id	author
114	Don Yaeger
115	Maureen Gilmer
116	Isabelle Steiger
117	Curtis Faith
118	Graham Shaw
119	Richard Stratton
120	Ayn Rand
121	Janice Kaplan
122	Brown MFA
123	Lambda
124	Robert Crease
125	Michael Scott Moore
126	Harper Lee
127	Brenda Michaels
128	Ashlyn Macnamara
129	Katherine Reay
130	Tom Savage
131	Dianne Emley
132	Marty Wingate
133	Paula Paul IRENE
134	Sarah Hobart
135	Po Bronson
136	Yukari Iwatani Kane
137	Frances Mayes
138	Rachel Beller
139	Melanie Butera
140	Palacio
141	Penelope Ward
142	Ged Adamson
143	Edgar Award
144	Ann Bracken
145	Amanda Filipacchi
146	Michener Center
147	Calista Fox
148	Liza Marklund
149	Steven Harper
150	David McBride
151	Ponlop
152	Rachel Caine
153	Kurt Palka
154	Bad Marie Marcy Dermansky
155	David Quinn
156	Ana Maria Machado
157	Meena Alexander
158	Adele Faber
159	Vesna Goldsworthy
160	Victor Milan
161	Brendan Brazier
162	Kelly Siskind
163	Barbara Lowell
164	Brazilian Portuguese
165	Christine Bailey
166	Alessandro Busa
167	Lee Daniel Kravetz
168	Diana Quincy
169	Jim Gash
170	Mark Siegel
171	Michael Eric Dyson
172	Bram Stoker Award
173	Luke Harris
174	Nicole Deese
175	Sarah Price
176	Laura Hatton
177	George Christie
178	Award
179	Jeanine Pirro
180	Theresa Howell
181	Twitter
182	Hope Tarr
183	Ashton Lee
184	Chloe Caldwell
185	Brain Fitness Lab Lisa Mosconi
186	Sutton
187	Tucker Reed
188	Kiera Cass
189	Keith Missel
190	Jerry Eicher
191	Shaun David Hutchinson
192	Robert McCammon
193	Columbia Law
194	William Germano
195	Jason Eaton
196	George O'Connor
197	Mark Siegel
198	Joe Navarro
199	Brandon Sanderson
200	Jennifer Gooch Hummer
201	Krystalyn Drown
202	Sarah Hogle
203	Abi Ketner
204	Nick Vujicic
205	R.S. Belcher
206	Rachel Caine
207	Sarah Hodgson
208	Johanna Holmstrm
209	Michael Breus
210	Mark Landler
211	Nickolas Butler
212	Charles King
213	Debora Spar
214	Patrick Phillips
215	Marta Soukopova
216	Jennifer Bosworth
217	Brazilian Portuguese
218	Daniel Raeburn
219	Erica Perl
220	Matthew Wilson
221	William Skidelsky
222	Jon Kelly
223	Ashley Elston
224	Rosenfeldt
225	Liza Marklund
226	Jens Lapidus
227	Megan O'Russell
228	Liza Kaplan
229	Nadia Hashimi
230	William Hazelgrove
231	Binyavanga Wainaina
232	Jill Shalvis
233	Jennifer Probst
234	Paula Stokes
235	Marci Curtis
236	Alexander Loyd
237	Best Wine Blog
238	Melanie Wallace
239	Randi Ragan
240	Ron Levinson
241	Ken Bensinger
242	Andrea Boeshaar
243	Lisa Gail Green
244	Ann Vanderlaan
245	Hyrum Smith
246	Alice Anderson
247	Tara Sim
248	Jess Peacock
249	Anees Salim
250	Royce Buckingham
251	Jennifer Wright
252	Julie Gillies
253	Danika Cooley
254	Danica Favorite-McDonald
255	Andy Furillo
256	JP Sloan
257	Adam Ehrlich Sachs
258	Helen Sedgwick
259	Nathaniel Lachenmeyer
260	Christie Craig
261	David Clarke
262	Peter V. Brett
263	Kathryn Siebel
264	Sandra Allen
265	Stuart Prebble
266	Daddy Doin
267	Yale Poynter Fellow
268	Ramez Naam
269	Rachel Caine
270	Barbara J Zitwer
271	Sarah Aronson
272	Cal Barksdale
273	Andrea Portes
274	James Preller
275	None
276	John Blackwood
277	Stephen Harris
278	Harper St. George
279	Farrarons
280	Bobbie Pyron
281	Chanda Hahn
282	Sean Black
283	Robert Nathan
284	Elle Kennedy
285	Alexis Morgan
286	Michaela
287	Tamara Ireland Stone
288	Emery Lord
289	Marci Curtis
290	Graal
291	Andrew Shvart
292	Danielle Mages Amato
293	Kelsey Sutton
294	None
295	Mausoof
296	Thomas Mullen
297	Indie Next
298	Nicolaia Rips
299	Thomas Wolfe Fiction Prize Winner Mesha Maren
300	Ken Pisani
301	Lapine
302	David Baldacci
303	David Baldacci
304	David Baldacci
305	Robin Kaye
306	Carolyn Marsden
307	Cory Putnam Oaks
308	Susan Southard
309	Charles Mann
310	V.C. Chickering
311	Masande Ntshanga
312	Brian Freeman
313	Jonathan Fenby
314	Wesley King
315	Karen Rinaldi
316	Kung Pow Chicken
317	Agata Zabowska
318	Carolyn Parkhurst
319	Norman Doidge
320	Skila Brown
321	Charlotte Zolotow
322	Peter Lodenius
323	Nicola Yoon
324	Katherine Hepinstall
325	Jonathan Coe
326	Peter Ward
327	Maeve Brennan
328	Alexander Smalls
329	Teresa Jordan
330	Jason Lewis
331	Guillaume Zeller
332	Angela Ackerman
333	Annette Herfkens
334	Dork Diaries
335	Paul Kalanithi
336	Diana Gabaldon
337	Sam Weinman
338	Katharine Ash
339	Andrew Mayne
340	Robert Dugoni
341	Dana Langer
342	Henry
343	Leon Pridgen
344	Simona Ahrnstedt
345	Robert McCammon
346	Tony Perez
347	Blogger
348	Sarah Watts
349	Marty Kelley
350	Jennifer Ryan
351	Bree Barton
352	Debbie Palen
353	Andy Riley
354	Adam Gustavson
355	David Nihill
356	Sylvia
357	Katie Fallon
358	Mark Bego
359	Deborah Newmyer
360	Danielle Younge-Ullman
361	James McWilliams
362	David Macfarlane
363	Peter Nowak
364	Max Wallace
365	Ann Walmsley
366	Richard Brewer
367	Paolo Sorrentino
368	Greg Behrendt
369	Elizabeth Abbott
370	Dan Brown
371	Dan Brown
372	Linda Migalti
373	Doyin Richards
374	Phillip Carlo
375	Rohit Bhargava
376	Arabic
377	Arabic
378	Andrew Nurnberg
379	Hendrik Groen
380	Walter Benn Michaels
381	Laila Lalami
382	Jaci Burton
383	Karen Robards
384	Sylvia
385	Cheryl Ann Smith
386	Joy Wilson
387	Stacey Mosteller
388	Stacey Mosteller
389	Elizabeth Miceli
390	Alexandra Blogier
391	Whitney Gardner
392	Critics
393	Trevor Lai
394	Sara
395	Rebecca Rogers Maher
396	Roman Catholic Church
397	Charlaine Harris
398	Rich Landau
399	Hadley Freeman
400	Ren Warom
401	David Joy
402	Iowa Writer
403	Steve Casner
404	Brooke Barker
405	Melanie Benjamin
406	Tillie Cole
407	Rhys Bowen
408	Architect Pamela Heyne
409	Yasmin
410	Emily Bennington
411	Sid Farrar
412	Leslie Linsley
413	Kathryn Petras
414	Linda Konner
415	Julie Buntin
416	Ian Gawler
417	Quantitative Social Science
418	Paul Hockenos
419	Brandon Sanderson
