x_id	y_id	prob	x_name	y_name
919	423	0.9759	charles belfoure	ann charles
980	423	0.9859	charles d'ambrosio	ann charles
244	427	0.9982	ann vanderlaan	ann landers
246	427	0.8169	alice anderson	ann landers
341	427	0.9978	dana langer	ann landers
37	428	1.0	iain lawrence	ann lawrence
105	428	0.9992	mark lawrence	ann lawrence
365	429	0.9685	ann walmsley	ann leary
365	430	0.9685	ann walmsley	ann lloyd
448	432	1.0	martin	ann m. martin
742	432	0.9886	lex martin	ann m. martin
799	432	0.9993	kat martin	ann m. martin
950	432	1.0	martin	ann m. martin
144	436	0.9997	ann bracken	ann packer
365	439	0.79	ann walmsley	ann romney
656	439	0.9722	ann mcelhinney	ann romney
353	440	0.9625	andy riley	ann rule
156	443	0.9957	ana maria machado	ann-marie macdonald
144	446	0.8169	ann bracken	anna godbersen
739	446	0.9058	ann shen	anna godbersen
739	448	0.9058	ann shen	anna pasternak
821	448	0.8169	anna silver	anna pasternak
821	449	0.9561	anna silver	anna quindlen
845	455	0.8037	kirk johnson	anne akers johnson
144	459	0.9932	ann bracken	anne byrn
73	460	0.9456	anne nelson	anne eames
365	460	0.79	ann walmsley	anne eames
131	460	0.9988	dianne emley	anne eames
120	463	0.9625	ayn rand	anne frank
144	463	0.9456	ann bracken	anne frank
48	463	0.9214	frank cole	anne frank
555	463	0.9456	bacon freak	anne frank
120	464	0.9625	ayn rand	anne frank
144	464	0.9456	ann bracken	anne frank
48	464	0.9214	frank cole	anne frank
555	464	0.9456	bacon freak	anne frank
821	465	0.9903	anna silver	anne frasier
177	468	0.8314	george christie	anne george
196	468	0.9576	george o'connor	anne george
704	468	0.9992	george r.	anne george
876	468	0.9622	george beahm	anne george
739	470	0.9625	ann shen	anne heche
739	471	0.9058	ann shen	anne hillerman
821	471	0.8169	anna silver	anne hillerman
365	475	0.9262	ann walmsley	anne mallory
97	476	0.9961	ann marie stephens	anne marie winston
97	477	0.9106	ann marie stephens	anne marsh
739	477	0.9625	ann shen	anne marsh
596	477	0.8164	jeffrey marsh	anne marsh
97	478	0.9106	ann marie stephens	anne marsh
739	478	0.9625	ann shen	anne marsh
596	478	0.8164	jeffrey marsh	anne marsh
179	489	0.9943	jeanine pirro	anne perry
144	490	0.9932	ann bracken	anne rice
904	490	1.0	luanne rice	anne rice
904	491	0.962	luanne rice	anne rice (anne ramp
739	494	0.9625	ann shen	anne sebba
291	495	0.9561	andrew shvart	anne stuart
265	495	0.8838	stuart prebble	anne stuart
291	496	0.9561	andrew shvart	anne stuart
265	496	0.8838	stuart prebble	anne stuart
821	497	0.9456	anna silver	anne tyler
83	497	0.79	nancy thayer	anne tyler
883	497	0.79	nancy thayer	anne tyler
350	498	0.9766	jennifer ryan	annelise ryan
333	500	0.9254	annette herfkens	annette blair
333	501	0.9254	annette herfkens	annette blair
144	502	0.88	ann bracken	annette broadrick
144	503	0.88	ann bracken	annette broadrick
333	504	0.8252	annette herfkens	annette dashofy
144	509	0.8169	ann bracken	annie jacobsen
739	509	0.9058	ann shen	annie jacobsen
580	509	0.8169	david jacob	annie jacobsen
73	513	0.9903	anne nelson	annie pigeon
218	515	0.8169	daniel raeburn	annie rains
350	515	0.9561	jennifer ryan	annie rains
73	516	0.9456	anne nelson	annie west
242	519	0.9625	andrea boeshaar	anthea sharp
144	521	0.8169	ann bracken	anthony bourke
353	525	0.79	andy riley	anthony grey
739	526	0.9058	ann shen	anthony holden
482	530	0.7695	john robinson	anthony robbins
779	531	0.9685	joya ryan	anthony ryan
88	536	0.9385	william vollmann	anthony william
194	536	0.9759	william germano	anthony william
496	536	0.9997	mason williams	anthony william
599	536	0.9978	whitney william	anthony william
774	536	0.9994	kathy willis	anthony william
885	536	0.837	william barre	anthony william
821	543	0.8169	anna silver	antonia fraser
465	548	0.9111	amy jones	aphrodite jones
385	549	0.9479	cheryl ann smith	april smith
674	549	0.9903	andrew smith	april smith
232	553	0.79	jill shalvis	ari shavit
66	555	0.9325	richmond	arianne richmonde
904	555	0.88	luanne rice	arianne richmonde
490	557	0.8914	tessa arlen	arlene james
63	557	1.0	james	arlene james
469	557	0.9262	brooke james	arlene james
521	557	0.8914	james beard	arlene james
671	557	0.9436	james dashner	arlene james
682	557	0.8914	james beard	arlene james
108	562	0.9956	jason aaron	aron ralston
385	564	0.9728	cheryl ann smith	art smith
674	564	0.9999	andrew smith	art smith
95	564	0.8139	lauren smith brody	art smith
245	564	0.9949	hyrum smith	art smith
970	564	0.9941	christian smith	art smith
170	565	0.9982	mark siegel	art spiegelman
197	565	0.9982	mark siegel	art spiegelman
602	571	0.7707	arthur browne	arthur b. laffer
602	572	0.9956	arthur browne	arthur c. brooks
602	573	0.7707	arthur browne	arthur c. clarke
927	573	0.9588	ed clarke	arthur c. clarke
602	574	0.7707	arthur browne	arthur c. clarke
927	574	0.9588	ed clarke	arthur c. clarke
602	575	0.9108	arthur browne	arthur conan doyle
602	576	0.9766	arthur browne	arthur golden
602	578	0.9766	arthur browne	arthur herman
966	578	0.8292	herman atkins	arthur herman
683	580	0.7994	camille aubray	arthur miller
214	581	0.9998	patrick phillips	arthur phillips
374	581	0.9691	phillip carlo	arthur phillips
104	586	0.9738	andrew jennings	asa andrew
291	586	0.9995	andrew shvart	asa andrew
339	586	0.9964	andrew mayne	asa andrew
378	586	0.8674	andrew nurnberg	asa andrew
674	586	0.9964	andrew smith	asa andrew
391	593	0.8902	whitney gardner	ashley gardner
391	594	0.8902	whitney gardner	ashley gardner
223	596	0.8091	ashley elston	ashley judd
223	597	0.997	ashley elston	ashley smith
385	597	0.9944	cheryl ann smith	ashley smith
674	597	0.9262	andrew smith	ashley smith
245	597	0.9903	hyrum smith	ashley smith
128	598	1.0	ashlyn macnamara	ashlyn macnamara
750	602	0.88	darcey rosenblatt	aubrey rose
738	611	0.9912	jason reynolds	aurora rose reynolds
427	616	0.8169	tove alsterdal	avery aster
120	621	1.0	ayn rand	ayn rand
239	621	0.9912	randi ragan	ayn rand
212	626	0.8489	charles king	b.b. king
724	626	0.9913	deborah king	b.b. king
90	628	1.0	daniels	b.j. daniels
469	629	0.9821	brooke james	b.j. james
521	629	0.9474	james beard	b.j. james
682	629	0.9474	james beard	b.j. james
63	629	1.0	james	b.j. james
438	630	0.9753	ali novak	b.j. novak
28	631	0.9987	john harvey	bj harvey
437	633	0.9831	julie ann walker	babe walker
165	634	0.9993	christine bailey	bailey white
81	635	0.79	brian keyser	baine kerr
163	644	0.9516	barbara lowell	barbara bickmore
459	644	0.9766	barbara coloroso	barbara bickmore
765	644	0.9766	barbara coloroso	barbara bickmore
163	645	1.0	barbara lowell	barbara boswell
270	645	0.8252	barbara j zitwer	barbara boswell
459	645	0.8252	barbara coloroso	barbara boswell
765	645	0.8252	barbara coloroso	barbara boswell
163	646	0.7711	barbara lowell	barbara bretton
